date,currency,noncomm_long,noncomm_short,open_interest,net,lev_funds_long,lev_funds_short,lev_funds_net,asset_mgr_long,asset_mgr_short,asset_mgr_net,dealer_long,dealer_short,dealer_net
2006-01-03,AUD,21116,14006,60245,7110,0,0,0,0,0,0,0,0,0
2006-01-03,CAD,45749,9062,105401,36687,0,0,0,0,0,0,0,0,0
2006-01-03,CHF,15002,31513,77368,-16511,0,0,0,0,0,0,0,0,0
2006-01-03,EUR,36013,24782,119238,11231,0,0,0,0,0,0,0,0,0
2006-01-03,GBP,13026,28047,69591,-15021,0,0,0,0,0,0,0,0,0
2006-01-03,JPY,22192,46929,155722,-24737,0,0,0,0,0,0,0,0,0
2006-01-03,NZD,8158,3321,12189,4837,0,0,0,0,0,0,0,0,0
2006-01-03,USD,13920,3392,26629,10528,0,0,0,0,0,0,0,0,0
2006-01-10,AUD,26703,4969,55332,21734,0,0,0,0,0,0,0,0,0
2006-01-10,CAD,32628,9311,98344,23317,0,0,0,0,0,0,0,0,0
2006-01-10,CHF,24138,24378,79029,-240,0,0,0,0,0,0,0,0,0
2006-01-10,EUR,42096,20135,127386,21961,0,0,0,0,0,0,0,0,0
2006-01-10,GBP,17074,21847,77079,-4773,0,0,0,0,0,0,0,0,0
2006-01-10,JPY,30472,50001,169886,-19529,0,0,0,0,0,0,0,0,0
2006-01-10,NZD,8659,4915,13013,3744,0,0,0,0,0,0,0,0,0
2006-01-10,USD,10112,5170,23845,4942,0,0,0,0,0,0,0,0,0
2006-01-17,AUD,27102,4393,61525,22709,0,0,0,0,0,0,0,0,0
2006-01-17,CAD,39506,12573,101952,26933,0,0,0,0,0,0,0,0,0
2006-01-17,CHF,21356,19896,80480,1460,0,0,0,0,0,0,0,0,0
2006-01-17,EUR,41207,19996,129565,21211,0,0,0,0,0,0,0,0,0
2006-01-17,GBP,17411,20714,83135,-3303,0,0,0,0,0,0,0,0,0
2006-01-17,JPY,30062,48321,167681,-18259,0,0,0,0,0,0,0,0,0
2006-01-17,NZD,10337,5510,15026,4827,0,0,0,0,0,0,0,0,0
2006-01-17,USD,9982,5278,25968,4704,0,0,0,0,0,0,0,0,0
2006-01-24,AUD,29898,10522,63978,19376,0,0,0,0,0,0,0,0,0
2006-01-24,CAD,35048,7915,102095,27133,0,0,0,0,0,0,0,0,0
2006-01-24,CHF,24328,19965,85876,4363,0,0,0,0,0,0,0,0,0
2006-01-24,EUR,56834,19370,144608,37464,0,0,0,0,0,0,0,0,0
2006-01-24,GBP,22028,19180,89537,2848,0,0,0,0,0,0,0,0,0
2006-01-24,JPY,29698,48976,166600,-19278,0,0,0,0,0,0,0,0,0
2006-01-24,NZD,9589,5740,15046,3849,0,0,0,0,0,0,0,0,0
2006-01-24,USD,10273,6446,27516,3827,0,0,0,0,0,0,0,0,0
2006-01-31,AUD,38523,9265,73813,29258,0,0,0,0,0,0,0,0,0
2006-01-31,CAD,50705,13221,117314,37484,0,0,0,0,0,0,0,0,0
2006-01-31,CHF,26222,25239,84122,983,0,0,0,0,0,0,0,0,0
2006-01-31,EUR,58564,22182,147953,36382,0,0,0,0,0,0,0,0,0
2006-01-31,GBP,21296,23206,94091,-1910,0,0,0,0,0,0,0,0,0
2006-01-31,JPY,32287,74032,188724,-41745,0,0,0,0,0,0,0,0,0
2006-01-31,NZD,9361,5587,15684,3774,0,0,0,0,0,0,0,0,0
2006-01-31,USD,10676,6615,27383,4061,0,0,0,0,0,0,0,0,0
2006-02-07,AUD,31309,10528,68525,20781,0,0,0,0,0,0,0,0,0
2006-02-07,CAD,56298,11453,121889,44845,0,0,0,0,0,0,0,0,0
2006-02-07,CHF,23624,38314,92132,-14690,0,0,0,0,0,0,0,0,0
2006-02-07,EUR,45622,26657,140121,18965,0,0,0,0,0,0,0,0,0
2006-02-07,GBP,15492,29554,93793,-14062,0,0,0,0,0,0,0,0,0
