date,EUR,GBP,JPY,AUD,CAD,CHF,NZD
2006-01-06,1.2148,1.7697,114.45,0.7528,1.165,1.2695,0.6909
2006-01-13,1.2103,1.7715,114.43,0.7535,1.1612,1.2799,0.6976
2006-01-20,1.2101,1.7663,115.42,0.747,1.1531,1.2826,0.6784
2006-01-27,1.213,1.7733,117.16,0.7518,1.147,1.2798,0.6838
2006-02-03,1.2021,1.7626,118.95,0.7491,1.147,1.2944,0.6869
2006-02-10,1.192,1.7454,117.64,0.7379,1.1543,1.3049,0.6793
2006-02-17,1.1906,1.7403,118.43,0.7385,1.1522,1.3123,0.6674
2006-02-24,1.1882,1.7448,116.87,0.7399,1.152,1.3158,0.663
2006-03-03,1.2028,1.7531,116.46,0.744,1.1352,1.299,0.6658
2006-03-10,1.1886,1.7256,119.07,0.731,1.1605,1.3201,0.6416
2006-03-17,1.2197,1.7567,115.89,0.7291,1.1587,1.2893,0.6342
2006-03-24,1.2034,1.7427,117.5,0.7107,1.1675,1.3099,0.6118
2006-03-31,1.2139,1.7393,117.48,0.7165,1.167,1.3025,0.6164
2006-04-07,1.2109,1.7407,118.31,0.7279,1.1464,1.3029,0.6104
2006-04-14,1.2106,1.751,118.65,0.7289,1.1513,1.299,0.618
2006-04-21,1.234,1.7817,116.91,0.7444,1.1372,1.2751,0.6337
2006-04-28,1.2624,1.822,113.79,0.7593,1.1203,1.2411,0.6368
2006-05-05,1.2733,1.8588,112.45,0.7707,1.1071,1.2257,0.6413
2006-05-12,1.2888,1.8911,110.49,0.7728,1.1085,1.202,0.6291
2006-05-19,1.275,1.8755,111.76,0.7569,1.1232,1.2182,0.6218
2006-05-26,1.2739,1.8566,112.58,0.7577,1.1072,1.2265,0.6329
2006-06-02,1.2912,1.8817,111.66,0.751,1.1001,1.2083,0.6307
2006-06-09,1.2636,1.8426,113.89,0.7499,1.1071,1.2322,0.6337
2006-06-16,1.2623,1.8484,115.12,0.7389,1.1223,1.2326,0.6173
2006-06-23,1.2522,1.8204,116.26,0.7315,1.1241,1.2469,0.6062
2006-06-30,1.2779,1.8491,114.51,0.7423,1.115,1.2247,0.6105
2006-07-07,1.2822,1.8513,113.98,0.7514,1.1132,1.2223,0.6095
2006-07-14,1.2641,1.8364,116.33,0.7541,1.1274,1.2358,0.6207
2006-07-21,1.2684,1.8586,116.34,0.7529,1.1373,1.2373,0.6255
2006-07-28,1.2748,1.8645,114.74,0.7663,1.1297,1.2333,0.6174
2006-08-04,1.2894,1.9098,114.21,0.7658,1.1269,1.2209,0.6244
2006-08-11,1.2757,1.8952,116.18,0.7673,1.1206,1.2388,0.635
2006-08-18,1.281,1.8808,115.79,0.7579,1.1234,1.2339,0.6394
2006-08-25,1.2767,1.8884,117.31,0.7568,1.1078,1.2375,0.6358
2006-09-01,1.2833,1.905,117.21,0.7663,1.1056,1.2308,0.655
2006-09-08,1.2673,1.8655,116.89,0.754,1.1191,1.248,0.637
2006-09-15,1.2648,1.8783,117.72,0.7517,1.1192,1.258,0.6629
2006-09-22,1.2796,1.9012,116.45,0.7513,1.1171,1.2349,0.6596
2006-09-29,1.2687,1.8716,117.99,0.7461,1.1151,1.2504,0.653
2006-10-06,1.26,1.8712,118.89,0.7434,1.1261,1.2607,0.6597
2006-10-13,1.2502,1.8551,119.81,0.7506,1.1367,1.2752,0.6573
2006-10-20,1.2613,1.8828,118.73,0.758,1.125,1.2587,0.6676
2006-10-27,1.2725,1.8968,117.61,0.7685,1.1185,1.2496,0.662
2006-11-03,1.2705,1.9011,118.06,0.7699,1.129,1.2549,0.67
2006-11-10,1.2861,1.912,117.47,0.7673,1.1306,1.2388,0.6662
2006-11-17,1.2823,1.8936,117.73,0.7686,1.1458,1.2443,0.6638
2006-11-24,1.3081,1.9315,115.93,0.7782,1.1346,1.2114,0.6712
2006-12-01,1.3316,1.9794,115.33,0.7914,1.1445,1.1947,0.6843
2006-12-08,1.3215,1.9564,116.23,0.7861,1.1499,1.2039,0.6899
